"region","dept_id","country","metric","type_group","Org L3","Org L4","Org L5","TA Leader","TA Leader L2","brady_aws","aws","dept","y"
"APJC","4159","SGP","BIS Plan","2021 Q2 Guidance","GARMAN","MAXPETE","MAXPETE","FINUALAH",,"Y","AWS",,34
"APJC","4160","JPN","BIS Plan","2021 Q2 Guidance","GARMAN","CARLASTR","CARLASTR","FINUALAH",,"Y","AWS",,1
"APJC","4251","AUS","BIS Plan","2021 Q2 Guidance","GARMAN","GRP","GRP","FINUALAH","MACKAE","Y","AWS",,27
"APJC","4251","JPN","BIS Plan","2021 Q2 Guidance","GARMAN","GRP","GRP","FINUALAH","NEALMOSE","Y","AWS",,3
"APJC","4251","KOR","BIS Plan","2021 Q2 Guidance","GARMAN","GRP","GRP","FINUALAH","QINWE","Y","AWS",,6
"APJC","4251","SGP","BIS Plan","2021 Q2 Guidance","GARMAN","GRP","GRP","FINUALAH","QINWE","Y","AWS",,25
"APJC","4254","AUS","BIS Plan","2021 Q2 Guidance","GARMAN","GRP","GRP","FINUALAH","MACKAE","Y","AWS",,3
"APJC","4254","SGP","BIS Plan","2021 Q2 Guidance","GARMAN","GRP","GRP","FINUALAH","QINWE","Y","AWS",,12
"APJC","4255","AUS","BIS Plan","2021 Q2 Guidance","GARMAN","GRP","GRP","FINUALAH","MACKAE","Y","AWS",,86
"APJC","4255","HKG","BIS Plan","2021 Q2 Guidance","GARMAN","GRP","GRP","FINUALAH","JANETLI","Y","AWS",,3
"APJC","4255","IND","BIS Plan","2021 Q2 Guidance","GARMAN","GRP","GRP","FINUALAH","ANIWARRI","Y","AWS",,3
"APJC","4255","JPN","BIS Plan","2021 Q2 Guidance","GARMAN","GRP","GRP","FINUALAH","NEALMOSE","Y","AWS",,2
"APJC","4255","SGP","BIS Plan","2021 Q2 Guidance","GARMAN","GRP","GRP","FINUALAH","QINWE","Y","AWS",,31
"APJC","4256","AUS","BIS Plan","2021 Q2 Guidance","GARMAN","GRP","GRP","FINUALAH","MACKAE","Y","AWS",,13
"APJC","4256","JPN","BIS Plan","2021 Q2 Guidance","GARMAN","GRP","GRP","FINUALAH","NEALMOSE","Y","AWS",,5
"APJC","4256","KOR","BIS Plan","2021 Q2 Guidance","GARMAN","GRP","GRP","FINUALAH","QINWE","Y","AWS",,1
"APJC","4256","SGP","BIS Plan","2021 Q2 Guidance","GARMAN","GRP","GRP","FINUALAH","QINWE","Y","AWS",,80
"APJC","4256","THA","BIS Plan","2021 Q2 Guidance","GARMAN","GRP","GRP","FINUALAH","QINWE","Y","AWS",,3
"APJC","4260","AUS","BIS Plan","2021 Q2 Guidance","GARMAN","GRP","GRP","FINUALAH","MACKAE","Y","AWS",,341
"APJC","4260","IDN","BIS Plan","2021 Q2 Guidance","GARMAN","GRP","GRP","FINUALAH","QINWE","Y","AWS",,38
"APJC","4260","IND","BIS Plan","2021 Q2 Guidance","GARMAN","GRP","GRP","FINUALAH","ANIWARRI","Y","AWS",,467
"APJC","4260","JPN","BIS Plan","2021 Q2 Guidance","GARMAN","GRP","GRP","FINUALAH","NEALMOSE","Y","AWS",,697
"APJC","4260","KOR","BIS Plan","2021 Q2 Guidance","GARMAN","GRP","GRP","FINUALAH","QINWE","Y","AWS",,432
"APJC","4260","MYS","BIS Plan","2021 Q2 Guidance","GARMAN","GRP","GRP","FINUALAH","QINWE","Y","AWS",,21
"APJC","4260","NZL","BIS Plan","2021 Q2 Guidance","GARMAN","GRP","GRP","FINUALAH","MACKAE","Y","AWS",,37
"APJC","4260","PHL","BIS Plan","2021 Q2 Guidance","GARMAN","GRP","GRP","FINUALAH","QINWE","Y","AWS",,21
"APJC","4260","SGP","BIS Plan","2021 Q2 Guidance","GARMAN","GRP","GRP","FINUALAH","QINWE","Y","AWS",,316
"APJC","4268","AUS","BIS Plan","2021 Q2 Guidance","GARMAN","RACHET","RACHET","FINUALAH",,"Y","AWS",,12
"APJC","4268","SGP","BIS Plan","2021 Q2 Guidance","GARMAN","RACHET","RACHET","FINUALAH",,"Y","AWS",,11
"APJC","4371","AUS","BIS Plan","2021 Q2 Guidance","GARMAN","GRP","BOBVAN","FINUALAH","MACKAE","Y","AWS",,43
"APJC","4371","IND","BIS Plan","2021 Q2 Guidance","GARMAN","GRP","BOBVAN","FINUALAH","ANIWARRI","Y","AWS",,93
"APJC","4371","JPN","BIS Plan","2021 Q2 Guidance","GARMAN","GRP","BOBVAN","FINUALAH","NEALMOSE","Y","AWS",,69
"APJC","4371","KOR","BIS Plan","2021 Q2 Guidance","GARMAN","GRP","BOBVAN","FINUALAH","QINWE","Y","AWS",,57
"APJC","4371","MYS","BIS Plan","2021 Q2 Guidance","GARMAN","GRP","BOBVAN","FINUALAH","QINWE","Y","AWS",,11
"APJC","4371","SGP","BIS Plan","2021 Q2 Guidance","GARMAN","GRP","BOBVAN","FINUALAH","QINWE","Y","AWS",,125
"APJC","4372","AUS","BIS Plan","2021 Q2 Guidance","GARMAN","GRP","BOBVAN","FINUALAH","MACKAE","Y","AWS",,47
"APJC","4372","IND","BIS Plan","2021 Q2 Guidance","GARMAN","GRP","BOBVAN","FINUALAH","ANIWARRI","Y","AWS",,90
"APJC","4372","JPN","BIS Plan","2021 Q2 Guidance","GARMAN","GRP","BOBVAN","FINUALAH","NEALMOSE","Y","AWS",,21
"APJC","4372","KOR","BIS Plan","2021 Q2 Guidance","GARMAN","GRP","BOBVAN","FINUALAH","QINWE","Y","AWS",,47
"APJC","4372","SGP","BIS Plan","2021 Q2 Guidance","GARMAN","GRP","BOBVAN","FINUALAH","QINWE","Y","AWS",,114
"APJC","4373","AUS","BIS Plan","2021 Q2 Guidance","GARMAN","RACHET","RACHET","FINUALAH",,"Y","AWS",,23
"APJC","4373","JPN","BIS Plan","2021 Q2 Guidance","GARMAN","RACHET","RACHET","FINUALAH",,"Y","AWS",,24
"APJC","4374","AUS","BIS Plan","2021 Q2 Guidance","GARMAN","RACHET","CATHYLON","FINUALAH",,"Y","AWS",,37
"APJC","4374","IND","BIS Plan","2021 Q2 Guidance","GARMAN","RACHET","CATHYLON","FINUALAH",,"Y","AWS",,23
"APJC","4374","JPN","BIS Plan","2021 Q2 Guidance","GARMAN","RACHET","CATHYLON","FINUALAH",,"Y","AWS",,24
"APJC","4374","KOR","BIS Plan","2021 Q2 Guidance","GARMAN","RACHET","CATHYLON","FINUALAH",,"Y","AWS",,13
"APJC","4374","SGP","BIS Plan","2021 Q2 Guidance","GARMAN","RACHET","CATHYLON","FINUALAH",,"Y","AWS",,165
"APJC","4378","AUS","BIS Plan","2021 Q2 Guidance","GARMAN","RACHET","RACHET","FINUALAH",,"Y","AWS",,176
"APJC","4378","IDN","BIS Plan","2021 Q2 Guidance","GARMAN","RACHET","RACHET","FINUALAH",,"Y","AWS",,12
"APJC","4378","IND","BIS Plan","2021 Q2 Guidance","GARMAN","RACHET","RACHET","FINUALAH",,"Y","AWS",,124
"APJC","4378","JPN","BIS Plan","2021 Q2 Guidance","GARMAN","RACHET","RACHET","FINUALAH",,"Y","AWS",,458
"APJC","4378","KOR","BIS Plan","2021 Q2 Guidance","GARMAN","RACHET","RACHET","FINUALAH",,"Y","AWS",,113
"APJC","4378","SGP","BIS Plan","2021 Q2 Guidance","GARMAN","RACHET","RACHET","FINUALAH",,"Y","AWS",,455
"APJC","4381","CHN","BIS Plan","2021 Q2 Guidance","GARMAN","RACHET","RACHET","FINUALAH",,"Y","AWS",,613
"APJC","4381","HKG","BIS Plan","2021 Q2 Guidance","GARMAN","RACHET","RACHET","FINUALAH",,"Y","AWS",,136
"APJC","4381","TWN","BIS Plan","2021 Q2 Guidance","GARMAN","RACHET","RACHET","FINUALAH",,"Y","AWS",,65
"APJC","4382","KOR","BIS Plan","2021 Q2 Guidance","GARMAN","RACHET","RACHET","FINUALAH",,"Y","AWS",,11
"APJC","4382","SGP","BIS Plan","2021 Q2 Guidance","GARMAN","RACHET","RACHET","FINUALAH",,"Y","AWS",,11
"APJC","4383","AUS","BIS Plan","2021 Q2 Guidance","GARMAN","RACHET","RACHET","FINUALAH",,"Y","AWS",,23
"APJC","4383","IND","BIS Plan","2021 Q2 Guidance","GARMAN","RACHET","RACHET","FINUALAH",,"Y","AWS",,25
"APJC","4383","JPN","BIS Plan","2021 Q2 Guidance","GARMAN","RACHET","RACHET","FINUALAH",,"Y","AWS",,66
"APJC","4383","KOR","BIS Plan","2021 Q2 Guidance","GARMAN","RACHET","RACHET","FINUALAH",,"Y","AWS",,13
"APJC","4383","SGP","BIS Plan","2021 Q2 Guidance","GARMAN","RACHET","RACHET","FINUALAH",,"Y","AWS",,106
"APJC","4442","AUS","BIS Plan","2021 Q2 Guidance","GARMAN","DOUGYEUM","DOUGYEUM","FINUALAH","MACKAE","Y","AWS",,154
"APJC","4442","IND","BIS Plan","2021 Q2 Guidance","GARMAN","DOUGYEUM","DOUGYEUM","FINUALAH","ANIWARRI","Y","AWS",,155
"APJC","4442","JPN","BIS Plan","2021 Q2 Guidance","GARMAN","DOUGYEUM","DOUGYEUM","FINUALAH","NEALMOSE","Y","AWS",,268
"APJC","4442","KOR","BIS Plan","2021 Q2 Guidance","GARMAN","DOUGYEUM","DOUGYEUM","FINUALAH","QINWE","Y","AWS",,51
"APJC","4442","MYS","BIS Plan","2021 Q2 Guidance","GARMAN","DOUGYEUM","DOUGYEUM","FINUALAH","QINWE","Y","AWS",,12
"APJC","4442","NZL","BIS Plan","2021 Q2 Guidance","GARMAN","DOUGYEUM","DOUGYEUM","FINUALAH","MACKAE","Y","AWS",,12
"APJC","4442","SGP","BIS Plan","2021 Q2 Guidance","GARMAN","DOUGYEUM","DOUGYEUM","FINUALAH","QINWE","Y","AWS",,131
"APJC","4444","CHN","BIS Plan","2021 Q2 Guidance","GARMAN","MAXPETE","TERESACA","FINUALAH",,"Y","AWS",,14
"APJC","4444","JPN","BIS Plan","2021 Q2 Guidance","GARMAN","MAXPETE","TERESACA","FINUALAH",,"Y","AWS",,15
"APJC","4444","SGP","BIS Plan","2021 Q2 Guidance","GARMAN","MAXPETE","TERESACA","FINUALAH",,"Y","AWS",,13
"APJC","4445","SGP","BIS Plan","2021 Q2 Guidance","GARMAN","KBUVAC","SHANE","FINUALAH",,"Y","AWS",,15
"APJC","4447","AUS","BIS Plan","2021 Q2 Guidance","GARMAN","DOUGYEUM","DOUGYEUM","FINUALAH","MACKAE","Y","AWS",,223
"APJC","4447","IDN","BIS Plan","2021 Q2 Guidance","GARMAN","DOUGYEUM","DOUGYEUM","FINUALAH","QINWE","Y","AWS",,24
"APJC","4447","IND","BIS Plan","2021 Q2 Guidance","GARMAN","DOUGYEUM","DOUGYEUM","FINUALAH","ANIWARRI","Y","AWS",,276
"APJC","4447","JPN","BIS Plan","2021 Q2 Guidance","GARMAN","DOUGYEUM","DOUGYEUM","FINUALAH","NEALMOSE","Y","AWS",,778
"APJC","4447","KOR","BIS Plan","2021 Q2 Guidance","GARMAN","DOUGYEUM","DOUGYEUM","FINUALAH","QINWE","Y","AWS",,137
"APJC","4447","MYS","BIS Plan","2021 Q2 Guidance","GARMAN","DOUGYEUM","DOUGYEUM","FINUALAH","QINWE","Y","AWS",,12
"APJC","4447","NZL","BIS Plan","2021 Q2 Guidance","GARMAN","DOUGYEUM","DOUGYEUM","FINUALAH","MACKAE","Y","AWS",,39
"APJC","4447","PHL","BIS Plan","2021 Q2 Guidance","GARMAN","DOUGYEUM","DOUGYEUM","FINUALAH","QINWE","Y","AWS",,24
"APJC","4447","SGP","BIS Plan","2021 Q2 Guidance","GARMAN","DOUGYEUM","DOUGYEUM","FINUALAH","QINWE","Y","AWS",,137
"APJC","4447","THA","BIS Plan","2021 Q2 Guidance","GARMAN","DOUGYEUM","DOUGYEUM","FINUALAH","QINWE","Y","AWS",,25
"APJC","4447","VNM","BIS Plan","2021 Q2 Guidance","GARMAN","DOUGYEUM","DOUGYEUM","FINUALAH","QINWE","Y","AWS",,24
"APJC","4448","AUS","BIS Plan","2021 Q2 Guidance","GARMAN","RACHET","RACHET","FINUALAH",,"Y","AWS",,39
"APJC","4448","CHN","BIS Plan","2021 Q2 Guidance","GARMAN","RACHET","RACHET","FINUALAH",,"Y","AWS",,24
"APJC","4448","IDN","BIS Plan","2021 Q2 Guidance","GARMAN","RACHET","RACHET","FINUALAH",,"Y","AWS",,12
"APJC","4448","IND","BIS Plan","2021 Q2 Guidance","GARMAN","RACHET","RACHET","FINUALAH",,"Y","AWS",,27
"APJC","4448","JPN","BIS Plan","2021 Q2 Guidance","GARMAN","RACHET","RACHET","FINUALAH",,"Y","AWS",,12
"APJC","4448","KOR","BIS Plan","2021 Q2 Guidance","GARMAN","RACHET","RACHET","FINUALAH",,"Y","AWS",,12
"APJC","4448","SGP","BIS Plan","2021 Q2 Guidance","GARMAN","RACHET","RACHET","FINUALAH",,"Y","AWS",,24
"APJC","4449","AUS","BIS Plan","2021 Q2 Guidance","GARMAN","RACHET","RACHET","FINUALAH",,"Y","AWS",,98
"APJC","4449","CHN","BIS Plan","2021 Q2 Guidance","GARMAN","RACHET","RACHET","FINUALAH",,"Y","AWS",,128
"APJC","4449","HKG","BIS Plan","2021 Q2 Guidance","GARMAN","RACHET","RACHET","FINUALAH",,"Y","AWS",,44
"APJC","4449","IND","BIS Plan","2021 Q2 Guidance","GARMAN","RACHET","RACHET","FINUALAH",,"Y","AWS",,127
"APJC","4449","JPN","BIS Plan","2021 Q2 Guidance","GARMAN","RACHET","RACHET","FINUALAH",,"Y","AWS",,102
"APJC","4449","KOR","BIS Plan","2021 Q2 Guidance","GARMAN","RACHET","RACHET","FINUALAH",,"Y","AWS",,98
"APJC","4449","SGP","BIS Plan","2021 Q2 Guidance","GARMAN","RACHET","RACHET","FINUALAH",,"Y","AWS",,230
"APJC","4449","TWN","BIS Plan","2021 Q2 Guidance","GARMAN","RACHET","RACHET","FINUALAH",,"Y","AWS",,12
"APJC","4466","SGP","BIS Plan","2021 Q2 Guidance","GARMAN","RABUCHIN","JBAL","FINUALAH",,"Y","AWS",,3
"APJC","4467","AUS","BIS Plan","2021 Q2 Guidance","GARMAN","RABUCHIN","CAGUTOWS","FINUALAH",,"Y","AWS",,11
"APJC","4521","AUS","BIS Plan","2021 Q2 Guidance","GARMAN","MAXPETE","MAXPETE","FINUALAH",,"Y","AWS",,382
"APJC","4521","IDN","BIS Plan","2021 Q2 Guidance","GARMAN","MAXPETE","MAXPETE","FINUALAH",,"Y","AWS",,36
"APJC","4521","IND","BIS Plan","2021 Q2 Guidance","GARMAN","MAXPETE","MAXPETE","FINUALAH",,"Y","AWS",,288
"APJC","4521","JPN","BIS Plan","2021 Q2 Guidance","GARMAN","MAXPETE","MAXPETE","FINUALAH",,"Y","AWS",,226
"APJC","4521","KOR","BIS Plan","2021 Q2 Guidance","GARMAN","MAXPETE","MAXPETE","FINUALAH",,"Y","AWS",,122
"APJC","4521","MYS","BIS Plan","2021 Q2 Guidance","GARMAN","MAXPETE","MAXPETE","FINUALAH",,"Y","AWS",,2
"APJC","4521","NZL","BIS Plan","2021 Q2 Guidance","GARMAN","MAXPETE","MAXPETE","FINUALAH",,"Y","AWS",,16
"APJC","4521","SGP","BIS Plan","2021 Q2 Guidance","GARMAN","MAXPETE","MAXPETE","FINUALAH",,"Y","AWS",,584
"APJC","4527","THA","BIS Plan","2021 Q2 Guidance","GARMAN","MAXPETE","CHHF","FINUALAH",,"Y","AWS",,1
"APJC","4534","IND","BIS Plan","2021 Q2 Guidance","GARMAN","MAXPETE","HUELSKAM","FINUALAH",,"Y","AWS",,15
"APJC","4534","SGP","BIS Plan","2021 Q2 Guidance","GARMAN","MAXPETE","HUELSKAM","FINUALAH",,"Y","AWS",,15
"APJC","4606","SGP","BIS Plan","2021 Q2 Guidance","GARMAN","MAXPETE","LEVDAVID","FINUALAH",,"Y","AWS",,11
"APJC","4607","AUS","BIS Plan","2021 Q2 Guidance","GARMAN","MAXPETE","KMAJERUS","FINUALAH",,"Y","AWS",,66
"APJC","4607","IND","BIS Plan","2021 Q2 Guidance","GARMAN","MAXPETE","KMAJERUS","FINUALAH",,"Y","AWS",,70
"APJC","4607","KOR","BIS Plan","2021 Q2 Guidance","GARMAN","MAXPETE","KMAJERUS","FINUALAH",,"Y","AWS",,12
"APJC","4608","AUS","BIS Plan","2021 Q2 Guidance","GARMAN","MAXPETE","CROSIERC","FINUALAH",,"Y","AWS",,1
"APJC","4608","SGP","BIS Plan","2021 Q2 Guidance","GARMAN","MAXPETE","CROSIERC","FINUALAH",,"Y","AWS",,11
"APJC","4609","AUS","BIS Plan","2021 Q2 Guidance","GARMAN","MAXPETE","MAXPETE","FINUALAH",,"Y","AWS",,1184
"APJC","4609","IDN","BIS Plan","2021 Q2 Guidance","GARMAN","MAXPETE","MAXPETE","FINUALAH",,"Y","AWS",,80
"APJC","4609","IND","BIS Plan","2021 Q2 Guidance","GARMAN","MAXPETE","MAXPETE","FINUALAH",,"Y","AWS",,494
"APJC","4609","JPN","BIS Plan","2021 Q2 Guidance","GARMAN","MAXPETE","MAXPETE","FINUALAH",,"Y","AWS",,209
"APJC","4609","KOR","BIS Plan","2021 Q2 Guidance","GARMAN","MAXPETE","MAXPETE","FINUALAH",,"Y","AWS",,124
"APJC","4609","NZL","BIS Plan","2021 Q2 Guidance","GARMAN","MAXPETE","MAXPETE","FINUALAH",,"Y","AWS",,69
"APJC","4609","PHL","BIS Plan","2021 Q2 Guidance","GARMAN","MAXPETE","MAXPETE","FINUALAH",,"Y","AWS",,56
"APJC","4609","SGP","BIS Plan","2021 Q2 Guidance","GARMAN","MAXPETE","MAXPETE","FINUALAH",,"Y","AWS",,514
"APJC","4609","THA","BIS Plan","2021 Q2 Guidance","GARMAN","MAXPETE","MAXPETE","FINUALAH",,"Y","AWS",,39
"APJC","4613","SGP","BIS Plan","2021 Q2 Guidance","GARMAN","MAXPETE","KMAJERUS","FINUALAH",,"Y","AWS",,12
"APJC","4614","AUS","BIS Plan","2021 Q2 Guidance","GARMAN","MAXPETE","MAXPETE","FINUALAH",,"Y","AWS",,13
"APJC","4666","CHN","BIS Plan","2021 Q2 Guidance","GARMAN","GARMAN","SMCOOPER","FINUALAH",,"Y","AWS",,23
"APJC","4666","NZL","BIS Plan","2021 Q2 Guidance","GARMAN","GARMAN","SMCOOPER","FINUALAH",,"Y","AWS",,166
"APJC","4668","AUS","BIS Plan","2021 Q2 Guidance","GARMAN","MAXPETE","CROSIERC","FINUALAH",,"Y","AWS",,1
"APJC","7541","CHN","BIS Plan","2021 Q2 Guidance","GARMAN","RACHET","RACHET","FINUALAH",,"Y","AWS",,12
"Americas","4112","CAN","BIS Plan","2021 Q2 Guidance","GARMAN","RABUCHIN","NATCG","DAKILBY","JJULC","Y","AWS",,14
"Americas","4112","USA","BIS Plan","2021 Q2 Guidance","GARMAN","RABUCHIN","NATCG","GREGARRI","ELLENMED","Y","AWS",,560
"Americas","4113","CAN","BIS Plan","2021 Q2 Guidance","GARMAN","RABUCHIN","JRB","DAKILBY","JJULC","Y","AWS",,34
"Americas","4113","USA","BIS Plan","2021 Q2 Guidance","GARMAN","RABUCHIN","JRB","GREGARRI","ELLENMED","Y","AWS",,4176
"Americas","4114","USA","BIS Plan","2021 Q2 Guidance","GARMAN","RABUCHIN","MATTBUT","GREGARRI","ELLENMED","Y","AWS",,1306
"Americas","4116","USA","BIS Plan","2021 Q2 Guidance","GARMAN","RABUCHIN","CAGUTOWS","GREGARRI","ELLENMED","Y","AWS",,87
"Americas","4152","USA","BIS Plan","2021 Q2 Guidance","GARMAN","DOUGYEUM","DOUGYEUM","GREGARRI","LLEILA","Y","AWS",,383
"Americas","4155","BRA","BIS Plan","2021 Q2 Guidance","GARMAN","DOUGYEUM","KLICHTEN","GREGARRI","LLEILA","Y","AWS",,12
"Americas","4155","CAN","BIS Plan","2021 Q2 Guidance","GARMAN","DOUGYEUM","KLICHTEN","DAKILBY","JJULC","Y","AWS",,94
"Americas","4155","COL","BIS Plan","2021 Q2 Guidance","GARMAN","DOUGYEUM","KLICHTEN","GREGARRI","LLEILA","Y","AWS",,12
"Americas","4155","USA","BIS Plan","2021 Q2 Guidance","GARMAN","DOUGYEUM","KLICHTEN","GREGARRI","LLEILA","Y","AWS",,2597
"Americas","4156","CAN","BIS Plan","2021 Q2 Guidance","GARMAN","DOUGYEUM","TIWAGNE","DAKILBY","JJULC","Y","AWS",,12
"Americas","4156","USA","BIS Plan","2021 Q2 Guidance","GARMAN","DOUGYEUM","TIWAGNE","GREGARRI","LLEILA","Y","AWS",,374
"Americas","4158","USA","BIS Plan","2021 Q2 Guidance","GARMAN","TKH","SROSECRA","GREGARRI","ELLENMED","Y","AWS",,381
"Americas","4159","ARG","BIS Plan","2021 Q2 Guidance","GARMAN","MAXPETE","MAXPETE","JAYANSHA",,"Y","AWS",,15
"Americas","4159","USA","BIS Plan","2021 Q2 Guidance","GARMAN","MAXPETE","MAXPETE","GREGARRI","APPLETK","Y","AWS",,313
"Americas","4160","USA","BIS Plan","2021 Q2 Guidance","GARMAN","CARLASTR","CARLASTR","GREGARRI","LLEILA","Y","AWS",,686
"Americas","4161","CAN","BIS Plan","2021 Q2 Guidance","GARMAN","CARLASTR","CARLASTR","DAKILBY","JJULC","Y","AWS",,21
"Americas","4161","USA","BIS Plan","2021 Q2 Guidance","GARMAN","CARLASTR","CARLASTR","GREGARRI","LLEILA","Y","AWS",,377
"Americas","4162","USA","BIS Plan","2021 Q2 Guidance","GARMAN","CARLASTR","CARLASTR","GREGARRI","LLEILA","Y","AWS",,800
"Americas","4170","USA","BIS Plan","2021 Q2 Guidance","GARMAN","GRP","PAULZIMM","GREGARRI","LLEILA","Y","AWS",,674
"Americas","4241","USA","BIS Plan","2021 Q2 Guidance","GARMAN","RABUCHIN","JBAL","GREGARRI","ELLENMED","Y","AWS",,87
"Americas","4254","CAN","BIS Plan","2021 Q2 Guidance","GARMAN","GRP","GRP","DAKILBY","JJULC","Y","AWS",,9
"Americas","4254","USA","BIS Plan","2021 Q2 Guidance","GARMAN","GRP","GRP","GREGARRI","LLEILA","Y","AWS",,89
"Americas","4255","BRA","BIS Plan","2021 Q2 Guidance","GARMAN","GRP","GRP","GREGARRI","LLEILA","Y","AWS",,325
"Americas","4255","CAN","BIS Plan","2021 Q2 Guidance","GARMAN","GRP","GRP","DAKILBY","JJULC","Y","AWS",,48
"Americas","4255","CHL","BIS Plan","2021 Q2 Guidance","GARMAN","GRP","GRP","GREGARRI","LLEILA","Y","AWS",,23
"Americas","4255","COL","BIS Plan","2021 Q2 Guidance","GARMAN","GRP","GRP","GREGARRI","LLEILA","Y","AWS",,43
"Americas","4255","MEX","BIS Plan","2021 Q2 Guidance","GARMAN","GRP","GRP","GREGARRI","LLEILA","Y","AWS",,40
"Americas","4255","USA","BIS Plan","2021 Q2 Guidance","GARMAN","GRP","GRP","GREGARRI","LLEILA","Y","AWS",,2185
"Americas","4260","ARG","BIS Plan","2021 Q2 Guidance","GARMAN","GRP","GRP","GREGARRI","LLEILA","Y","AWS",,24
"Americas","4260","BRA","BIS Plan","2021 Q2 Guidance","GARMAN","GRP","GRP","GREGARRI","LLEILA","Y","AWS",,65
"Americas","4260","CAN","BIS Plan","2021 Q2 Guidance","GARMAN","GRP","GRP","DAKILBY","JJULC","Y","AWS",,60
"Americas","4260","CHL","BIS Plan","2021 Q2 Guidance","GARMAN","GRP","GRP","GREGARRI","LLEILA","Y","AWS",,42
"Americas","4260","MEX","BIS Plan","2021 Q2 Guidance","GARMAN","GRP","GRP","GREGARRI","LLEILA","Y","AWS",,37
"Americas","4260","USA","BIS Plan","2021 Q2 Guidance","GARMAN","GRP","GRP","GREGARRI","LLEILA","Y","AWS",,716
"Americas","4262","USA","BIS Plan","2021 Q2 Guidance","GARMAN","RACHET","RACHET","GREGARRI","ELLENMED","Y","AWS",,207
"Americas","4263","USA","BIS Plan","2021 Q2 Guidance","GARMAN","RACHET","RACHET","GREGARRI","ELLENMED","Y","AWS",,201
"Americas","4264","CAN","BIS Plan","2021 Q2 Guidance","GARMAN","RACHET","RACHET","DAKILBY","JJULC","Y","AWS",,53
"Americas","4264","USA","BIS Plan","2021 Q2 Guidance","GARMAN","RACHET","RACHET","GREGARRI","ELLENMED","Y","AWS",,1722
"Americas","4266","CAN","BIS Plan","2021 Q2 Guidance","GARMAN","RACHET","RACHET","DAKILBY","JJULC","Y","AWS",,12
"Americas","4266","USA","BIS Plan","2021 Q2 Guidance","GARMAN","RACHET","RACHET","GREGARRI","ELLENMED","Y","AWS",,244
"Americas","4268","USA","BIS Plan","2021 Q2 Guidance","GARMAN","RACHET","RACHET","GREGARRI","ELLENMED","Y","AWS",,755
"Americas","4270","USA","BIS Plan","2021 Q2 Guidance","GARMAN","RACHET","RACHET","GREGARRI","ELLENMED","Y","AWS",,352
"Americas","4271","USA","BIS Plan","2021 Q2 Guidance","GARMAN","RACHET","RACHET","GREGARRI","ELLENMED","Y","AWS",,213
"Americas","4272","USA","BIS Plan","2021 Q2 Guidance","GARMAN","RACHET","RACHET","GREGARRI","ELLENMED","Y","AWS",,148
"Americas","4371","ARG","BIS Plan","2021 Q2 Guidance","GARMAN","GRP","BOBVAN","GREGARRI","LLEILA","Y","AWS",,1
